,HybControlNormScale,NormScale_20,NormScale_0_5,NormScale_0_005,ANMLFractionUsed_0_5,FLAG,PASS,FLAG_p
0,True,False,False,False,False,5,0,0.052083333333333336
1,False,True,False,False,False,82,0,0.8541666666666666
2,False,False,True,False,False,2,0,0.020833333333333332
3,False,False,False,True,False,7,0,0.07291666666666667
4,False,False,False,False,True,2,0,0.020833333333333332
5,True,True,False,False,False,87,0,0.90625
6,True,False,True,False,False,7,0,0.07291666666666667
7,True,False,False,True,False,12,0,0.125
8,True,False,False,False,True,7,0,0.07291666666666667
9,False,True,True,False,False,83,0,0.8645833333333334
10,False,True,False,True,False,89,0,0.9270833333333334
11,False,True,False,False,True,83,0,0.8645833333333334
12,False,False,True,True,False,9,0,0.09375
13,False,False,True,False,True,4,0,0.041666666666666664
14,False,False,False,True,True,9,0,0.09375
15,True,True,True,False,False,88,0,0.9166666666666666
16,True,True,False,True,False,94,0,0.9791666666666666
17,True,True,False,False,True,88,0,0.9166666666666666
18,True,False,True,True,False,14,0,0.14583333333333334
19,True,False,True,False,True,9,0,0.09375
20,True,False,False,True,True,14,0,0.14583333333333334
21,False,True,True,True,False,90,0,0.9375
22,False,True,True,False,True,84,0,0.875
23,False,True,False,True,True,90,0,0.9375
24,False,False,True,True,True,11,0,0.11458333333333333
25,True,True,True,True,False,95,0,0.9895833333333334
26,True,True,True,False,True,89,0,0.9270833333333334
27,True,True,False,True,True,95,0,0.9895833333333334
28,True,False,True,True,True,16,0,0.16666666666666666
29,False,True,True,True,True,91,0,0.9479166666666666
30,True,True,True,True,True,96,0,1.0
